Region,date,date2,cases,LCITY,COMMUNITY,LABEL,deaths,Longitude,Latitude
Acton,2020-06-10,2020-06-10,16,,,,,-118.1868379,34.4807415
Acton,2020-06-11,2020-06-11,16,,,,,-118.1868379,34.4807415
Acton,2020-06-12,2020-06-12,16,,,,,-118.1868379,34.4807415
Acton,2020-06-13,2020-06-13,16,,,,,-118.1868379,34.4807415
Acton,2020-06-14,2020-06-14,19,,,,,-118.1868379,34.4807415
Acton,2020-06-15,2020-06-15,19,,,,,-118.1868379,34.4807415
Acton,2020-06-16,2020-06-16,17,,,,,-118.1868379,34.4807415
Acton,2020-06-17,2020-06-17,17,,,,,-118.1868379,34.4807415
Acton,2020-06-18,2020-06-18,18,,,,,-118.1868379,34.4807415
Acton,2020-06-19,2020-06-19,19,,,,,-118.1868379,34.4807415
Acton,2020-06-20,2020-06-20,19,,,,,-118.1868379,34.4807415
Acton,2020-06-21,2020-06-21,19,,,,,-118.1868379,34.4807415
Acton,2020-06-22,2020-06-22,19,,,,,-118.1868379,34.4807415
Acton,2020-06-23,2020-06-23,20,,,,,-118.1868379,34.4807415
Acton,2020-06-24,2020-06-24,20,,,,,-118.1868379,34.4807415
Acton,2020-06-25,2020-06-25,20,,,,,-118.1868379,34.4807415
Acton,2020-06-26,2020-06-26,20,,,,,-118.1868379,34.4807415
Acton,2020-06-27,2020-06-27,21,,,,,-118.1868379,34.4807415
Acton,2020-06-28,2020-06-28,21,,,,,-118.1868379,34.4807415
Acton,2020-06-29,2020-06-29,22,,,,,-118.1868379,34.4807415
Acton,2020-06-30,2020-06-30,24,,,,,-118.1868379,34.4807415
Acton,2020-07-01,2020-07-01,25,,,,,-118.1868379,34.4807415
Acton,2020-07-02,2020-07-02,25,,,,,-118.1868379,34.4807415
Acton,2020-07-03,2020-07-03,26,,,,,-118.1868379,34.4807415
Acton,2020-07-04,2020-07-04,27,,,,,-118.1868379,34.4807415
Acton,2020-07-05,2020-07-05,27,,,,,-118.1868379,34.4807415
Acton,2020-07-06,2020-07-06,29,,,,,-118.1868379,34.4807415
Acton,2020-07-07,2020-07-07,29,,,,,-118.1868379,34.4807415
Acton,2020-07-08,2020-07-08,31,,,,,-118.1868379,34.4807415
Acton,2020-07-09,2020-07-09,33,,,,,-118.1868379,34.4807415
Acton,2020-07-10,2020-07-10,33,,,,,-118.1868379,34.4807415
Acton,2020-07-11,2020-07-11,34,,,,,-118.1868379,34.4807415
Acton,2020-07-12,2020-07-12,34,,,,,-118.1868379,34.4807415
Acton,2020-07-13,2020-07-13,34,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-14,2020-07-14,34,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-15,2020-07-15,37,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-16,2020-07-16,37,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-17,2020-07-17,37,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-18,2020-07-18,37,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-19,2020-07-19,38,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-20,2020-07-20,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-21,2020-07-21,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-22,2020-07-22,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-23,2020-07-23,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-24,2020-07-24,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-25,2020-07-25,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-26,2020-07-26,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-27,2020-07-27,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-28,2020-07-28,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-29,2020-07-29,40,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-07-30,2020-07-30,42,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-03,2020-08-03,45,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-04,2020-08-04,45,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-05,2020-08-05,46,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-06,2020-08-06,50,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-07,2020-08-07,51,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-08,2020-08-08,53,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-09,2020-08-09,53,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-10,2020-08-10,54,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-11,2020-08-11,54,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-12,2020-08-12,54,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-13,2020-08-13,56,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-14,2020-08-14,55,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-15,2020-08-15,55,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-16,2020-08-16,55,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-17,2020-08-17,55,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-18,2020-08-18,55,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-19,2020-08-19,54,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-20,2020-08-20,55,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-21,2020-08-21,58,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Acton,2020-08-22,2020-08-22,58,Unincorporated,Acton,Unincorporated - Acton,2,-118.1868379,34.4807415
Adams,2020-03-27,2020-03-27,0,,,,,-118.0805347,33.8485544
Adams,2020-03-28,2020-03-28,0,,,,,-118.0805347,33.8485544
Adams,2020-03-29,2020-03-29,0,,,,,-118.0805347,33.8485544
Adams,2020-03-30,2020-03-30,0,,,,,-118.0805347,33.8485544
Adams,2020-03-31,2020-03-31,5,,,,,-118.0805347,33.8485544
Adams,2020-04-01,2020-04-01,8,,,,,-118.0805347,33.8485544
Adams,2020-04-02,2020-04-02,8,,,,,-118.0805347,33.8485544
Adams,2020-04-03,2020-04-03,12,,,,,-118.0805347,33.8485544
Adams,2020-04-04,2020-04-04,11,,,,,-118.0805347,33.8485544
Adams,2020-04-05,2020-04-05,13,,,,,-118.0805347,33.8485544
Adams,2020-04-06,2020-04-06,13,,,,,-118.0805347,33.8485544
Adams,2020-04-07,2020-04-07,13,,,,,-118.0805347,33.8485544
Adams,2020-04-08,2020-04-08,15,,,,,-118.0805347,33.8485544
Adams,2020-04-09,2020-04-09,15,,,,,-118.0805347,33.8485544
Adams,2020-04-10,2020-04-10,15,,,,,-118.0805347,33.8485544
Adams,2020-04-11,2020-04-11,15,,,,,-118.0805347,33.8485544
Adams,2020-04-12,2020-04-12,15,,,,,-118.0805347,33.8485544
Adams,2020-04-13,2020-04-13,15,,,,,-118.0805347,33.8485544
Adams,2020-04-14,2020-04-14,16,,,,,-118.0805347,33.8485544
Adams,2020-04-15,2020-04-15,16,,,,,-118.0805347,33.8485544
Adams,2020-04-16,2020-04-16,16,,,,,-118.0805347,33.8485544
Adams,2020-04-17,2020-04-17,16,,,,,-118.0805347,33.8485544
Adams,2020-04-18,2020-04-18,16,,,,,-118.0805347,33.8485544
Adams,2020-04-19,2020-04-19,16,,,,,-118.0805347,33.8485544
Adams,2020-04-20,2020-04-20,16,,,,,-118.0805347,33.8485544
Adams,2020-04-21,2020-04-21,17,,,,,-118.0805347,33.8485544
Adams,2020-04-22,2020-04-22,19,,,,,-118.0805347,33.8485544
Adams,2020-04-23,2020-04-23,20,,,,,-118.0805347,33.8485544
Adams,2020-04-24,2020-04-24,22,,,,,-118.0805347,33.8485544
Adams,2020-04-25,2020-04-25,22,,,,,-118.0805347,33.8485544
Adams,2020-04-26,2020-04-26,24,,,,,-118.0805347,33.8485544
Adams,2020-04-27,2020-04-27,24,,,,,-118.0805347,33.8485544
Adams,2020-04-28,2020-04-28,26,,,,,-118.0805347,33.8485544
Adams,2020-04-29,2020-04-29,26,,,,,-118.0805347,33.8485544
Adams,2020-04-30,2020-04-30,26,,,,,-118.0805347,33.8485544
Adams,2020-05-01,2020-05-01,27,,,,,-118.0805347,33.8485544
Adams,2020-05-02,2020-05-02,29,,,,,-118.0805347,33.8485544
Adams,2020-05-03,2020-05-03,29,,,,,-118.0805347,33.8485544
Adams,2020-05-04,2020-05-04,29,,,,,-118.0805347,33.8485544
Adams,2020-05-05,2020-05-05,31,,,,,-118.0805347,33.8485544
Adams,2020-05-06,2020-05-06,31,,,,,-118.0805347,33.8485544
Adams,2020-05-07,2020-05-07,32,,,,,-118.0805347,33.8485544
Adams,2020-05-08,2020-05-08,32,,,,,-118.0805347,33.8485544
Adams,2020-05-09,2020-05-09,32,,,,,-118.0805347,33.8485544
Adams,2020-05-10,2020-05-10,32,,,,,-118.0805347,33.8485544
Adams,2020-05-11,2020-05-11,33,,,,,-118.0805347,33.8485544
Adams,2020-05-12,2020-05-12,33,,,,,-118.0805347,33.8485544
Adams,2020-05-13,2020-05-13,33,,,,,-118.0805347,33.8485544
Adams,2020-05-14,2020-05-14,33,,,,,-118.0805347,33.8485544
Adams,2020-05-15,2020-05-15,34,,,,,-118.0805347,33.8485544
Adams,2020-05-16,2020-05-16,35,,,,,-118.0805347,33.8485544
Adams,2020-05-17,2020-05-17,37,,,,,-118.0805347,33.8485544
Adams,2020-05-18,2020-05-18,37,,,,,-118.0805347,33.8485544
Adams,2020-05-19,2020-05-19,37,,,,,-118.0805347,33.8485544
Adams,2020-05-20,2020-05-20,40,,,,,-118.0805347,33.8485544
Adams,2020-05-21,2020-05-21,40,,,,,-118.0805347,33.8485544
Adams,2020-05-22,2020-05-22,41,,,,,-118.0805347,33.8485544
Adams,2020-05-23,2020-05-23,42,,,,,-118.0805347,33.8485544
Adams,2020-05-24,2020-05-24,43,,,,,-118.0805347,33.8485544
Adams,2020-05-25,2020-05-25,44,,,,,-118.0805347,33.8485544
Adams,2020-05-26,2020-05-26,48,,,,,-118.0805347,33.8485544
Adams,2020-05-27,2020-05-27,50,,,,,-118.0805347,33.8485544
Adams,2020-05-28,2020-05-28,51,,,,,-118.0805347,33.8485544
Adams,2020-05-29,2020-05-29,51,,,,,-118.0805347,33.8485544
Adams,2020-05-30,2020-05-30,53,,,,,-118.0805347,33.8485544
Adams,2020-05-31,2020-05-31,55,,,,,-118.0805347,33.8485544
Adams,2020-06-01,2020-06-01,55,,,,,-118.0805347,33.8485544
Adams,2020-06-02,2020-06-02,56,,,,,-118.0805347,33.8485544
Adams,2020-06-03,2020-06-03,56,,,,,-118.0805347,33.8485544
Adams,2020-06-04,2020-06-04,56,,,,,-118.0805347,33.8485544
Adams,2020-06-05,2020-06-05,56,,,,,-118.0805347,33.8485544
Adams,2020-06-06,2020-06-06,58,,,,,-118.0805347,33.8485544
Adams,2020-06-07,2020-06-07,59,,,,,-118.0805347,33.8485544
Adams,2020-06-08,2020-06-08,59,,,,,-118.0805347,33.8485544
Adams,2020-06-09,2020-06-09,60,,,,,-118.0805347,33.8485544
Adams,2020-06-10,2020-06-10,60,,,,,-118.0805347,33.8485544
Adams,2020-06-11,2020-06-11,65,,,,,-118.0805347,33.8485544
Adams,2020-06-12,2020-06-12,68,,,,,-118.0805347,33.8485544
Adams,2020-06-13,2020-06-13,69,,,,,-118.0805347,33.8485544
Adams,2020-06-14,2020-06-14,71,,,,,-118.0805347,33.8485544
Adams,2020-06-15,2020-06-15,72,,,,,-118.0805347,33.8485544
Adams,2020-06-16,2020-06-16,73,,,,,-118.0805347,33.8485544
Adams,2020-06-17,2020-06-17,80,,,,,-118.0805347,33.8485544
Adams,2020-06-18,2020-06-18,81,,,,,-118.0805347,33.8485544
Adams,2020-06-19,2020-06-19,82,,,,,-118.0805347,33.8485544
Adams,2020-06-20,2020-06-20,82,,,,,-118.0805347,33.8485544
Adams,2020-06-21,2020-06-21,87,,,,,-118.0805347,33.8485544
